county,date,time,type,mag,dth,inj,prd,crd
QUEENS CO.,08/01/2011,    18:45,Flash Flood,,0,0,0.00K,0.00K
KINGS CO.,08/14/2011,    09:00,Flood,,0,0,0.00K,0.00K
QUEENS CO.,08/14/2011,    12:30,Flash Flood,,0,0,0.00K,0.00K
RICHMOND CO.,08/14/2011,    21:00,Flood,,0,0,0.00K,0.00K
RICHMOND CO.,08/18/2011,    18:33,Thunderstorm Wind,52  kts. EG,0,0,1.00K,0.00K
KINGS CO.,08/19/2011,    18:44,Thunderstorm Wind,52  kts. EG,0,0,3.00K,0.00K
QUEENS CO.,08/19/2011,    19:00,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,08/21/2011,    15:35,Thunderstorm Wind,52  kts. EG,0,0,5.00K,0.00K
QUEENS CO.,08/21/2011,    15:39,Thunderstorm Wind,52  kts. EG,0,0,5.00K,0.00K
QUEENS CO.,08/21/2011,    19:56,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,08/27/2011,    23:30,Flood,,0,0,0.00K,0.00K
RICHMOND CO.,08/27/2011,    23:40,Flood,,0,0,0.00K,0.00K
RICHMOND CO.,08/27/2011,    23:46,Flood,,0,0,0.00K,0.00K
QUEENS CO.,08/27/2011,    23:52,Flood,,0,0,0.00K,0.00K
BRONX (ZONE),08/28/2011,    01:58,Tropical Storm,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),08/28/2011,    01:58,Tropical Storm,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),08/28/2011,    01:58,Tropical Storm,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),08/28/2011,    02:10,Tropical Storm,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),08/28/2011,    02:10,Tropical Storm,,0,0,0.00K,0.00K
QUEENS CO.,08/28/2011,    03:00,Tornado,EF0,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),08/28/2011,    06:13,Tropical Storm,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),08/28/2011,    06:30,Storm Surge/tide,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),08/28/2011,    06:30,Storm Surge/tide,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),08/28/2011,    07:00,Storm Surge/tide,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),08/28/2011,    07:00,Storm Surge/tide,,0,0,0.00K,0.00K
NEW YORK CO.,08/28/2011,    07:34,Flood,,0,0,0.00K,0.00K
KINGS CO.,08/28/2011,    07:44,Flood,,0,0,0.00K,0.00K
QUEENS CO.,08/28/2011,    07:44,Flood,,0,0,0.00K,0.00K
QUEENS CO.,08/28/2011,    07:56,Flood,,0,0,0.00K,0.00K
NEW YORK CO.,08/28/2011,    08:32,Flood,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),08/28/2011,    08:45,Storm Surge/tide,,0,0,0.00K,0.00K
