Event ID,Event Name,Start Date/Time,End Date/Time,Event Agency,Event Type,Event Borough,Event Location,Event Street Side,Street Closure Type,Community Board,Police Precinct
341438,TSq Presents NYC Cultural Neighborhood Programming,09/05/2017 11:00:00 AM,10/28/2017 10:00:00 PM,Street Activity Permit Office,Plaza Partner Event,Manhattan,"42/43 Broadway Pedestrian Plaza (Times Sq): 42/43 Broadway Pedestrian Plaza (Times Sq) BROADWAY between WEST   42 STREET and WEST   43 STREET, 43/44 Broadway Pedestrian Plaza (Times Sq): 43/44 Broadway Pedestrian Plaza (Times Sq) BROADWAY between WEST   43 STREET and WEST   44 STREET, 46/47 Broadway Pedestrian Plaza (Times Sq): 46/47 Broadway Pedestrian Plaza (Times Sq) BROADWAY between WEST   46 STREET and WEST   47 STREET",Full,Pedestrian Plaza ,"5, ","14, 18, "
341448,De Colores,09/16/2017 02:00:00 PM,09/16/2017 07:00:00 PM,Street Activity Permit Office,Block Party,Manhattan, EAST  104 STREET between LEXINGTON AVENUE and THIRD AVENUE,Full,Full Street Closure ,"11, ","23, "
341493,100 W16th St Block Party,09/23/2017 11:00:00 AM,09/23/2017 04:00:00 PM,Street Activity Permit Office,Block Party,Manhattan, WEST   16 STREET between SIXTH AVENUE and SEVENTH AVENUE,Full,Full Street Closure ,"4, ","13, "
341583,Marcus Garvey Park Alliance,09/16/2017 08:00:00 AM,09/16/2017 08:00:00 AM,Street Activity Permit Office,Farmers Market,Manhattan, MOUNT MORRIS PARK WEST between WEST  124 STREET and WEST  123 STREET,West,Partial Sidewalk Closure ,"10, 11, ","25, 28, "
341583,Marcus Garvey Park Alliance,09/23/2017 08:00:00 AM,09/23/2017 08:00:00 AM,Street Activity Permit Office,Farmers Market,Manhattan, MOUNT MORRIS PARK WEST between WEST  124 STREET and WEST  123 STREET,West,Partial Sidewalk Closure ,"10, 11, ","25, 28, "
341583,Marcus Garvey Park Alliance,09/30/2017 08:00:00 AM,09/30/2017 08:00:00 AM,Street Activity Permit Office,Farmers Market,Manhattan, MOUNT MORRIS PARK WEST between WEST  124 STREET and WEST  123 STREET,West,Partial Sidewalk Closure ,"10, 11, ","25, 28, "
341583,Marcus Garvey Park Alliance,10/07/2017 08:00:00 AM,10/07/2017 08:00:00 AM,Street Activity Permit Office,Farmers Market,Manhattan, MOUNT MORRIS PARK WEST between WEST  124 STREET and WEST  123 STREET,West,Partial Sidewalk Closure ,"10, 11, ","25, 28, "
341583,Marcus Garvey Park Alliance,10/14/2017 08:00:00 AM,10/14/2017 08:00:00 AM,Street Activity Permit Office,Farmers Market,Manhattan, MOUNT MORRIS PARK WEST between WEST  124 STREET and WEST  123 STREET,West,Partial Sidewalk Closure ,"10, 11, ","25, 28, "
341994,Movies Under the Stars,09/15/2017 07:45:00 PM,09/15/2017 09:00:00 PM,Parks Department,Special Event,Brooklyn,Sunset Park: Center Lawn ,,N/A,"7, ","72, "
341994,Movies Under the Stars,10/07/2017 07:45:00 PM,10/07/2017 09:00:00 PM,Parks Department,Special Event,Brooklyn,Sunset Park: Center Lawn ,,N/A,"7, ","72, "
342127,Miscellaneous,09/29/2017 08:00:00 PM,09/29/2017 09:30:00 PM,Parks Department,Special Event,Brooklyn,Cooper Park: Center Oval Lawn ,,N/A,"1, ","90, "
342141,Miscellaneous,09/30/2017 08:00:00 PM,09/30/2017 09:30:00 PM,Parks Department,Special Event,Brooklyn,Monsignor McGolrick Park: Lawn at Monitor and Russell ,,N/A,"1, ","94, "
342176,Flea Market,09/16/2017 08:00:00 AM,09/16/2017 05:00:00 PM,Street Activity Permit Office,Sidewalk Sale,Queens, 35 AVENUE between 81 STREET and 82 STREET,Both,Sidewalk and Curb Lane Closure ,"3, ","115, "
342176,Flea Market,09/23/2017 08:00:00 AM,09/23/2017 05:00:00 PM,Street Activity Permit Office,Sidewalk Sale,Queens, 35 AVENUE between 81 STREET and 82 STREET,Both,Sidewalk and Curb Lane Closure ,"3, ","115, "
342176,Flea Market,09/30/2017 08:00:00 AM,09/30/2017 05:00:00 PM,Street Activity Permit Office,Sidewalk Sale,Queens, 35 AVENUE between 81 STREET and 82 STREET,Both,Sidewalk and Curb Lane Closure ,"3, ","115, "
342176,Flea Market,10/07/2017 08:00:00 AM,10/07/2017 05:00:00 PM,Street Activity Permit Office,Sidewalk Sale,Queens, 35 AVENUE between 81 STREET and 82 STREET,Both,Sidewalk and Curb Lane Closure ,"3, ","115, "
342176,Flea Market,10/14/2017 08:00:00 AM,10/14/2017 05:00:00 PM,Street Activity Permit Office,Sidewalk Sale,Queens, 35 AVENUE between 81 STREET and 82 STREET,Both,Sidewalk and Curb Lane Closure ,"3, ","115, "
342185,Miscellaneous,09/15/2017 10:00:00 AM,09/15/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
342185,Miscellaneous,09/16/2017 10:00:00 AM,09/16/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
342185,Miscellaneous,09/17/2017 10:00:00 AM,09/17/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
342185,Miscellaneous,09/18/2017 10:00:00 AM,09/18/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
337926,FAB Brooklyn Music School Jazz: Teaching Artists Choice,09/15/2017 04:00:00 PM,09/15/2017 08:00:00 PM,Street Activity Permit Office,Street Event,Brooklyn,710 FULTON STREET between HANSON PLACE and SOUTH OXFORD STREET,South,Partial Sidewalk Closure ,"2, ","88, "
342185,Miscellaneous,09/19/2017 10:00:00 AM,09/19/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
342185,Miscellaneous,09/20/2017 10:00:00 AM,09/20/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
342185,Miscellaneous,09/21/2017 10:00:00 AM,09/21/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
342185,Miscellaneous,09/22/2017 10:00:00 AM,09/22/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
342185,Miscellaneous,09/23/2017 10:00:00 AM,09/23/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
342185,Miscellaneous,09/24/2017 10:00:00 AM,09/24/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
342185,Miscellaneous,09/25/2017 10:00:00 AM,09/25/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
342185,Miscellaneous,09/26/2017 10:00:00 AM,09/26/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
342185,Miscellaneous,09/27/2017 10:00:00 AM,09/27/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
342185,Miscellaneous,09/28/2017 10:00:00 AM,09/28/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
342185,Miscellaneous,09/29/2017 10:00:00 AM,09/29/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
342185,Miscellaneous,09/30/2017 10:00:00 AM,09/30/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
342185,Miscellaneous,10/01/2017 10:00:00 AM,10/01/2017 05:00:00 PM,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Playground For All Children Gazebo A ,Flushing Meadows Corona Park: Softball-11 ,Flushing Meadows Corona Park: Zoo Picnic Area - Pink ",,N/A,"81, ","110, "
